community,parish,sub_county,source_id,repair_date,population_served,well_depth,static_water_depth,pump_installation_depth,well_yield_(m^3/hr)
Kabumba ,KABUMBA,Busukuma,988,2021-12-15,292,43.28,31.7,39.62,
Nsasa,KIRA,Kira,727,2021-12-30,"2,880",65.84,23.47,39.62,5.7
Namulonge,KIKOKO,Busukuma,728,2021-12-31,"1,224",85.34,28.04,48.77,4.68
Bulindo,KIRA,Kira,990,2021-12-23,"3,483",49.68,25.91,45.72,0.66
Nabitalo ,KIWENDA,Busukuma,996,2021-12-18,"1,240",43.59,17.07,33.53,0.6
Nabitalo ,KIWENDA,Busukuma,992,2021-12-18,981,48.16,22.25,48.16,0.78
Kabonge,WAMIRONGO,Busukuma,993,2021-12-16,916,64.01,30.48,39.62,0.6
Menvu 2 Luteete ,LUGO,Busukuma,995,2021-12-15,259,47.55,13.11,27.43,0.42
Menvu-Luteete,LUGO,Busukuma,994,2021-12-15,267,53.34,20.73,36.58,0.6
Kiti A ,WATTUBA,Kasangati Town Council,1135,2022-06-23,"2,218",57.91,39.62,51.82,6.42
Kitukutwe,KIMWANYI,Kira,1165,2022-07-05,"1,795",57.91,24.08,39.62,10.92
Nasse ,NASSE,Gombe,427,2022-07-08,"1,133",86.87,22.86,57.91,6.42
Kamuli,KAMULI,Kakiri,1167,2022-08-12,652,65.53,20.12,30.48,0
Bukemba,MAGIGYE,Busukuma,537,2022-08-12,"1,378",29.57,18.29,27.43,0
Ngongolo ,NGONGOLO,Kajjansi Town Council,1413a,2023-05-08,555,60.66,22.56,42.67,
Luguzi,LUGUZI,Namayumba Town Council,1450,2023-06-27,632,74.68,15.24,33.53,0.9
Gala Nalya ,NAMPUNGE,Kakiri,1432,2023-06-27,"1,175",89.92,33.53,51.82,0.9
Busonko,MAGOGGO,Kakiri,1451,2023-06-27,609,60.96,9.14,36.58,0.78
Busonko,MAGOGGO,Kakiri,1467,2023-07-13,523,40.23,21.64,36.58,9.24
Sentema - Kimbejja ,SSENTEMA,Kakiri,1433a,2023-07-25,883,95.5,24,71.5,2
Busujja,BUSUJJA WARD,Kakiri Town Council,1514,2023-11-08,988,77.42,21.34,39.62,9.24
,,,1035,2022-01-26,189,84.73,23.77,54.86,6.78
,,,1140,2023-08-09,487,32.92,,,
